Web and marketing,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Advising calls per application,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.24,0.13,2.16,0.28,0.21,0.25,0.19,0.37,0.35,0.06,0.20,0.22,0.54,0.33,0.35,0.41,0.34,0.40,0.21,0.38,0.21,0.24
Growth rate,NA,NA,NA,NA,NA,NA,NA,-46%,+1535%,-87%,-23%,+19%,-26%,+95%,-4%,-83%,+247%,+9%,+142%,-39%,+7%,+18%,-17%,+18%,-48%,+84%,-44%,+11%
Fraction of calls worth having,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,71.6%,72.3%,60.4%,73.8%,70.5%,79.2%,70.8%,70.6%,67.8%,72.2%,69.10%
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+1%,-16%,+22%,-4%,+12%,-11%,-0%,-4%,+6%,-4%
Average usefulness rating 1-7,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,5.92,5.95,6.09,5.95,5.91,5.83,5.86,5.91
Growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+1%,+2%,-2%,-1%,-1%,+1%,+1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall org,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020,Q4 2020,Q1 2021,Q2 2021,Q3 2021,Q4 2021,Q1 2022,Q2 2022,Q3 2022,Q4 2022
Primary staff FTE on senior management,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.16,0.17,0.20,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.35,0.35,0.35,0.35,0.46,0.46,0.25,0.21
Primary staff FTE direct on programmes,0.69,0.86,1.03,1.03,1.12,1.19,1.19,1.52,3.71,1.38,1.86,2.04,1.88,1.88,2.19,2.13,2.18,2.51,2.59,2.59,2.32,2.32,2.46,3.05,3.40,3.54,3.68,4.35
Primary staff FTE on supporting (inc share of EV ops),0.30,0.30,0.30,0.30,0.25,0.30,0.30,0.30,0.41,0.41,0.42,0.44,0.73,0.73,0.73,0.74,0.74,0.74,0.74,0.99,0.74,0.73,0.73,0.73,0.71,0.74,1.43,1.50
Primary staff and EV Ops FTE,1.1,1.3,1.4,1.4,1.5,1.6,1.6,1.9,1.9,1.9,2.5,2.7,2.8,2.8,3.1,3.1,3.1,3.4,3.5,3.8,3.4,3.4,3.5,4.1,4.6,4.7,5.4,6.06
Supporting as proportion of core,+27%,+23%,+21%,+21%,+17%,+19%,+19%,+16%,+22%,+22%,+17%,+16%,+26%,+26%,+24%,+24%,+24%,+22%,+21%,+26%,+22%,+21%,+21%,+18%,+15%,+16%,+26%,+25%
"Labour costs (in person-years, primary staff and share of EV Ops)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11.2,11.4,11.4,12.7,12.6,13.9,13.6,15.1,14.7,13.7,13.6,16.1,18.4,18.8,21.4,24.26
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+2%,+0%,+11%,-1%,+10%,-2%,+11%,-3%,-7%,-1%,+18%,+14%,+2%,+14%,+13%
"Labour costs (in person-years, including other team members)",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,11.9,12.8,12.8,14.1,13.5,14.7,14.6,16.3,15.7,15.0,15.7,18.4,20.6,21.6,24.3,27.20
Year on year growth rate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,+8%,,+10%,-4%,+9%,-1%,+12%,-4%,-4%,+5%,+17%,+12%,+5%,+13%,+12%
